2019-03-18 11:10:20.427 [main] INFO  Main - Program started
2019-03-18 11:10:20.438 [main] INFO  entity.songs.Song - Song season of abbyss have been read from file and added to song base.
2019-03-18 11:10:20.438 [main] INFO  entity.songs.Song - Song diamonds have been read from file and added to song base.
2019-03-18 11:10:20.439 [main] INFO  entity.songs.Song - Song carry the flag have been read from file and added to song base.
2019-03-18 11:10:20.439 [main] INFO  entity.songs.Song - Song moonlight sonata have been read from file and added to song base.
2019-03-18 11:10:20.440 [main] INFO  entity.songs.Song - Song symphony 35 have been read from file and added to song base.
2019-03-18 11:10:20.440 [main] INFO  entity.songs.Song - Song disciple have been read from file and added to song base.
2019-03-18 11:10:20.440 [main] INFO  entity.songs.Song - Song nothing else matters have been read from file and added to song base.
2019-03-18 11:10:20.440 [main] INFO  entity.songs.Song - Song bad romance have been read from file and added to song base.
2019-03-18 11:10:20.440 [main] INFO  activity.SongList - Showing a list of all songs in a base...
2019-03-18 11:10:20.522 [main] INFO  entity.disks.Disk - Disk Collection has been created.
2019-03-18 11:10:20.524 [main] INFO  activity.DiskHandling - Adding song to disk...
2019-03-18 11:10:20.532 [main] INFO  entity.disks.Disk - disciple added to Collection disk.
2019-03-18 11:10:20.533 [main] INFO  activity.DiskHandling - Adding song to disk...
2019-03-18 11:10:20.533 [main] INFO  entity.disks.Disk - bad romance added to Collection disk.
2019-03-18 11:10:20.533 [main] INFO  activity.DiskHandling - Adding song to disk...
2019-03-18 11:10:20.533 [main] INFO  entity.disks.Disk - carry the flag added to Collection disk.
2019-03-18 11:10:20.533 [main] INFO  activity.DiskHandling - Adding song to disk...
2019-03-18 11:10:20.533 [main] INFO  entity.disks.Disk - nothing else matters added to Collection disk.
2019-03-18 11:10:20.533 [main] INFO  activity.DiskHandling - Adding song to disk...
2019-03-18 11:10:20.533 [main] INFO  entity.disks.Disk - moonlight sonata added to Collection disk.
2019-03-18 11:10:20.534 [main] INFO  activity.DiskHandling - Printing disk's playlist...
2019-03-18 11:10:20.552 [main] INFO  activity.DiskHandling - Disk's total time estimating...
2019-03-18 11:10:20.553 [main] INFO  activity.DiskHandling - Sorting disk...
2019-03-18 11:10:20.555 [main] INFO  activity.DiskHandling - Printing disk's playlist...
2019-03-18 11:10:20.556 [main] INFO  activity.DiskHandling - Filtering disk by song time...
2019-03-18 11:10:20.556 [main] INFO  Main - Program finished
